e ,For Pages and Posts,"For Video Content, Social, Etc.",Content Type,,,"(Steve's Note: No state homepage, 2 gray divorce)",,Idealized URL Structure,for MSV?,From WordPress - what exists now,"Future URL Should Be This Based on 
Idealized URL Structure. Fill all of this out.",for MSV? based on Target Seedword?,WP Post or Page ID,WP Post Type (Page/Post),WP Publish Status,WP Page/Post Title,WP Slug,WP PLUGIN - Custom URL,WP Permalink,WP Parent ID,WP Parent Slug,WP PLUGIN - Meta Title - like Yoast `_yoast_wpseo_title`,WP PLUGIN - Meta Description - like Yoast `_yoast_wpseo_metadesc`,WP Page/Post Excerpt,WP PLUGIN - Index/No Index Status - like Yoast  `_yoast_wpseo_meta-robots-noindex`,WP Page/Post Categories,WP Page/Post Tags,WP Page/Post Modifed Date,Prompt for Keyword Intent and AI Overview,,
117,Phase 08,Phase 7,Supporting Content,Child Custody Supporting Content,Legal Description Content,Understanding Joint Custody vs. Sole Custody in {state},,.com/{state}/child-custody/joint-custody-vs-sole-custody/,joint custody vs sole custody {state},,,,,,,,,,,,,,,,,,,,Research,Yes,320
118,Phase 06,Phase 11,Supporting Content,Child Custody Supporting Content,Legal Description Content,Legal Implications of Unmarried Parents Seeking Custody in {state},,.com/{state}/child-custody/unmarried-parents-custody-rights/,unmarried parents custody rights {state},,,,,,,,,,,,,,,,,,,,Research,Yes,400
119,Phase 04,Phase 6,Supporting Content,Child Custody Supporting Content,Legal Description Content,Determining the Best Interest of the Child in {state},,.com/{state}/child-custody/best-interest-of-child/,best interest of the child {state},,,,,,,,,,,,,,,,,,,,Research,Yes,600
120,Phase 08,Phase 7,Supporting Content,Child Custody Supporting Content,Legal Description Content,Visitation Rights and Schedules in {state},,.com/{state}/child-custody/visitation-rights-schedule-options/,child visitation schedule {state},,,,,,,,,,,,,,,,,,,,Research,Yes,280
121,Phase 04,Phase 19,Supporting Content,Child Support Supporting Content,Procedure Content,Child Support Modification in {state},,.com/{state}/child-support/modification/,child support modification {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,"1,300"
122,Phase 06,Phase 19,Supporting Content,Child Support Supporting Content,Procedure Content,Child Support Enforcement in {state},,.com/{state}/child-support/enforcement/,{state} child support enforcement,,,,,,,,,,,,,,,,,,,,Purchase,No,500
123,Phase 04,Phase 3,Supporting Content,Child Support Supporting Content,Procedure Content,Child Support Termination in {state},,.com/{state}/child-support/termination/,when does child support end in {state},,,,,,,,,,,,,,,,,,,,Research,Yes,600
124,Phase 04,Phase 3,Supporting Content,Child Support Supporting Content,Procedure Content,Petition for Child Support in {state},,.com/{state}/child-support/how-to-file/,how to file for child support in {state},,,,,,,,,,,,,,,,,,,,Research,Yes,"1,000"
125,Phase 08,Phase 21,Supporting Content,Child Support Supporting Content,Situational Content,Supporting Kids as a Single Parent in {state},,.com/{state}/child-support/single-parent-support/,single parent help {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,300
126,Phase 08,Phase 30,Supporting Content,Child Support Supporting Content,Situational Content,Child Support for Self-Employed Parents in {state},,.com/{state}/child-support/self-employed/,child support for self employed in {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,250
127,Phase 06,Phase 14,Supporting Content,Child Support Supporting Content,Situational Content,Understanding Wage Garnishment for Child Support in {state},,.com/{state}/child-support/wage-garnishments/,wage garnishment child support {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,400
128,Phase 09,Phase 21,Supporting Content,Child Support Supporting Content,Situational Content,Child Support for Children with Special Needs in {state},,.com/{state}/child-support/special-needs-children/,child support for special needs child {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,150
129,Phase 09,Phase 31,Supporting Content,Child Support Supporting Content,Situational Content,Child Support for Military Families in {state},,.com/{state}/child-support/military-families/,child support military {state},,,,,,,,,,,,,,,,,,,,Research,Yes,200
130,Phase 06,Phase 14,Supporting Content,Child Support Supporting Content,Situational Content,Child Support Payments when Unemployed in {state},,.com/{state}/child-support/unemployment-payment-obligations/,child support if unemployed {state},,,,,,,,,,,,,,,,,,,,Research,Yes,350
131,Phase 08,Phase 21,Supporting Content,Child Support Supporting Content,Situational Content,Can Parents Agree to No Child Support in {state},,.com/{state}/child-support/no-support-agreement/,can parents waive child support in {state},,,,,,,,,,,,,,,,,,,,Research,Yes,300
132,Phase 08,Phase 21,Supporting Content,Child Support Supporting Content,Situational Content,Retroactive Child Support Orders in {state},,.com/{state}/child-support/retroactive/,retroactive child support {state},,,,,,,,,,,,,,,,,,,,Research,Yes,250
133,Phase 04,Phase 3,Supporting Content,Child Support Supporting Content,Legal Description Content,When Does Child Support End,,.com/{state}/child-support/support-end-age/,when does child support end,,,,,,,,,,,,,,,,,,,,Research,Yes,"3,200"
134,Phase 04,Phase 3,Supporting Content,Child Support Supporting Content,Legal Description Content,{state} Child Support Laws,,.com/{state}/child-support/laws/,{state} child support laws,,,,,,,,,,,,,,,,,,,,Research,Yes,"2,000"
135,Phase 09,Phase 3,Supporting Content,Child Support Supporting Content,Legal Description Content,Documentation Required for Child Support Cases in {state},,.com/{state}/child-support/documents-required/,documents needed for child support {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,150
136,Phase 10,Phase 32,Supporting Content,Child Support Supporting Content,Legal Description Content,Income Shares vs. Percentage-of-Income Models,,.com/{state}/child-support/income-shares-vs-percentage/,income shares vs percentage of income,,,,,,,,,,,,,,,,,,,,Commercial,Yes,90
137,Phase 09,Phase 33,Supporting Content,Child Support Supporting Content,Legal Description Content,Voluntary Unemployment & Child Support in {state},,.com/{state}/child-support/voluntary-unemployment-obligations,voluntary unemployment and child support {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,200
138,Phase 08,Phase 33,Supporting Content,Child Support Supporting Content,Legal Description Content,Tax Consequences of Child Support in {state},,.com/{state}/child-support/tax-implications/,is child support taxable in {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,350
139,Phase 06,Phase 14,Supporting Content,Child Support Supporting Content,Legal Description Content,Overview of Child Support Arrears and Penalties in {state},,.com/{state}/child-support/arrears-penalties/,child support arrears {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,400
140,Phase 09,Phase 19,Supporting Content,Alimony Supporting Content,Procedure Content,Alimony Modification in {state},,.com/{state}/alimony/modification/,alimony modification {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,150
141,Phase 10,Phase 19,Supporting Content,Alimony Supporting Content,Procedure Content,Alimony Enforcement in {state},,.com/{state}/alimony/enforcement/,enforce alimony {state},,,,,,,,,,,,,,,,,,,,Purchase,No,90
142,Phase 11,Phase 19,Supporting Content,Alimony Supporting Content,Procedure Content,Alimony Termination in {state},,.com/{state}/alimony/termination/,terminate alimony {state},,,,,,,,,,,,,,,,,,,,Purchase,No,70
143,Phase 12,Phase 19,Supporting Content,Alimony Supporting Content,Procedure Content,Alimony Appeals in {state},,.com/{state}/alimony/appeal-court-orders/,alimony appeal {state},,,,,,,,,,,,,,,,,,,,Purchase,No,30
144,Phase 09,Phase 12,Supporting Content,Alimony Supporting Content,Situational Content,Avoid Paying Alimony in {state},,.com/{state}/alimony/avoid-paying/,how to avoid paying alimony in {state},,,,,,,,,,,,,,,,,,,,Research,Yes,150
145,Phase 12,Phase 27,Supporting Content,Alimony Supporting Content,Situational Content,Budgeting for Post-Divorce Life in {state},,.com/{state}/alimony/post-divorce-budgeting/,post divorce budgeting {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,20
146,Phase 12,Phase 15,Supporting Content,Alimony Supporting Content,Situational Content,Alimony Mediation in {state},,.com/{state}/alimony/mediation-process/,alimony mediation {state},,,,,,,,,,,,,,,,,,,,Purchase,Yes,30
147,Phase 12,Phase 8,Supporting Content,Alimony Supporting Content,Situational Content,Documentation Required for Alimony Cases in {state},,.com/{state}/alimony/documentation-required/,documents needed for alimony in {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,40
148,Phase 11,Phase 11,Supporting Content,Alimony Supporting Content,Situational Content,Gray Divorce (“Over 50”) in {state},,.com/{state}/alimony/gray-divorce/,gray divorce {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,70
149,Phase 09,Phase 30,Supporting Content,Alimony Supporting Content,Situational Content,Alimony in High-Asset Divorces in {state},,.com/{state}/alimony/high-asset-divorces/,high asset divorce {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,200
150,Phase 11,Phase 26,Supporting Content,Alimony Supporting Content,Situational Content,Alimony Obligations during Retirement in {state},,.com/{state}/alimony/retirement-obligations/,alimony after retirement {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,50
151,Phase 11,Phase 11,Supporting Content,Alimony Supporting Content,Situational Content,Impact of Remarriage on Alimony Payments in {state},,.com/{state}/alimony/remarriage-impact/,remarriage effect on alimony {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,60
152,Phase 12,Phase 26,Supporting Content,Alimony Supporting Content,Situational Content,Alimony for Long-Term Marriages in {state},,.com/{state}/alimony/long-term-marriages/,alimony long term marriage {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,40
153,Phase 12,Phase 26,Supporting Content,Alimony Supporting Content,Situational Content,Alimony for Stay-at-Home Parents in {state},,.com/{state}/alimony/stay-at-home-parent/,stay at home parent alimony {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,40
154,Phase 10,Phase 6,Supporting Content,Alimony Supporting Content,Legal Description Content,Length of Marriage to Get Alimony in {state},,.com/{state}/alimony/marriage-length-for-alimony/,how long do you have to be married to get alimony {state},,,,,,,,,,,,,,,,,,,,Research,Yes,90
155,Phase 04,Phase 6,Supporting Content,Alimony Supporting Content,Legal Description Content,{state} Alimony Laws,,.com/{state}/alimony/laws/,{state} alimony laws,,,,,,,,,,,,,,,,,,,,Research,Yes,600
156,Phase 10,Phase 33,Supporting Content,Alimony Supporting Content,Legal Description Content,Temporary Alimony in {state},,.com/{state}/alimony/temporary/,temporary alimony {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,110
157,Phase 12,Phase 33,Supporting Content,Alimony Supporting Content,Legal Description Content,Bridge the Gap Alimony in {state},,.com/{state}/alimony/bridge-the-gap/,bridge the gap alimony {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,20
158,Phase 12,Phase 33,Supporting Content,Alimony Supporting Content,Legal Description Content,Rehabilitative Alimony in {state},,.com/{state}/alimony/rehabilitative/,rehabilitative alimony {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,30
159,Phase 12,Phase 33,Supporting Content,Alimony Supporting Content,Legal Description Content,Durational Alimony in {state},,.com/{state}/alimony/durational/,durational alimony {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,20
160,Phase 11,Phase 35,Supporting Content,Alimony Supporting Content,Legal Description Content,Permanent (Lifetime) Alimony in {state},,.com/{state}/alimony/permanent-lifetime/,permanent alimony {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,70
161,Phase 10,Phase 35,Supporting Content,Alimony Supporting Content,Legal Description Content,Alimony Types in {state},,.com/{state}/alimony/types/,types of alimony in {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,90
162,Phase 12,Phase 36,Supporting Content,Alimony Supporting Content,Legal Description Content,Alimony Payment Reimbursement in {state},,.com/{state}/alimony/payment-reimbursement/,alimony reimbursement {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,20
163,Phase 11,Phase 36,Supporting Content,Alimony Supporting Content,Legal Description Content,Cohabitation on Alimony in {state},,.com/{state}/alimony/cohabitation/,cohabitation effect on alimony {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,50
164,Phase 11,Phase 36,Supporting Content,Alimony Supporting Content,Legal Description Content,Factors Courts Consider when Awarding Alimony in {state},,.com/{state}/alimony/factors-courts-consider/,factors for alimony in {state},,,,,,,,,,,,,,,,,,,,Research,Yes,60
165,Phase 10,Phase 36,Supporting Content,Alimony Supporting Content,Legal Description Content,Tax Implications of Alimony Payments in {state},,.com/{state}/alimony/tax-implications/,alimony tax laws {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,90
166,Phase 12,Phase 14,Supporting Content,Alimony Supporting Content,Legal Description Content,Alimony Payments when Unemployed in {state},,.com/{state}/alimony/unemployment-obligations/,paying alimony while unemployed {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,30
167,Phase 12,Phase 14,Supporting Content,Alimony Supporting Content,Legal Description Content,Overview of Alimony Arrears and Enforcement Mechanisms in {state},,.com/{state}/alimony/arrears-penalties/,alimony arrears {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,40
168,Phase 09,Phase 17,Supporting Content,Property Division Supporting Content,Procedure Content,Property Division Modification in {state},,.com/{state}/property-division/modification/,modify divorce decree {state},,,,,,,,,,,,,,,,,,,,Purchase,No,150
169,Phase 10,Phase 17,Supporting Content,Property Division Supporting Content,Procedure Content,Property Division Enforcement in {state},,.com/{state}/property-division/enforcement/,enforce divorce decree {state},,,,,,,,,,,,,,,,,,,,Purchase,No,90
170,Phase 11,Phase 17,Supporting Content,Property Division Supporting Content,Procedure Content,Petition for Property Division in {state},,.com/{state}/property-division/petition/,property division petition {state},,,,,,,,,,,,,,,,,,,,Purchase,No,60
171,Phase 11,Phase 17,Supporting Content,Property Division Supporting Content,Procedure Content,Appealing Property Division Orders in {state},,.com/{state}/property-division/appeal-court-orders/,appeal divorce decree {state},,,,,,,,,,,,,,,,,,,,Purchase,No,70
172,Phase 09,Phase 12,Supporting Content,Property Division Supporting Content,Situational Content,Who Gets the House in a Divorce in {state},,.com/{state}/property-division/who-gets-house/,who gets the house in a divorce {state},,,,,,,,,,,,,,,,,,,,Research,Yes,200
173,Phase 11,Phase 8,Supporting Content,Property Division Supporting Content,Situational Content,Documentation Required for Property Division Cases in {state},,.com/{state}/property-division/documentation-required/,divorce property division documents {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,50
174,Phase 04,Phase 15,Supporting Content,Property Division Supporting Content,Situational Content,Understanding the Role of Mediation in Property Division Disputes,,.com/{state}/property-division/mediation/,divorce mediation {state},,,,,,,,,,,,,,,,,,,,Purchase,Yes,700
175,Phase 09,Phase 17,Supporting Content,Property Division Supporting Content,Situational Content,Uncovering Hidden Assets in {state},,.com/{state}/property-division/hidden-assets/,hidden assets in divorce {state},,,,,,,,,,,,,,,,,,,,Research,Yes,150
176,Phase 08,Phase 32,Supporting Content,Property Division Supporting Content,Situational Content,QDROs: Dividing Retirement Funds in a {state} Divorce,,.com/{state}/property-division/qdro-retirement-accounts/,QDRO {state} divorce,,,,,,,,,,,,,,,,,,,,Purchase,No,250
177,Phase 09,Phase 30,Supporting Content,Property Division Supporting Content,Situational Content,High-Net-Worth Divorces in {state},,.com/{state}/property-division/high-net-worth/,high net worth divorce {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,200
178,Phase 08,Phase 31,Supporting Content,Property Division Supporting Content,Situational Content,Military Divorce & Property Division in {state},,.com/{state}/property-division/military-divorce/,military divorce {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,300
179,Phase 10,Phase 30,Supporting Content,Property Division Supporting Content,Situational Content,Business Owner Property Division during Divorce in {state},,.com/{state}/property-division/business-owner-entrepreneur/,divorce business owner {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,100
180,Phase 11,Phase 32,Supporting Content,Property Division Supporting Content,Situational Content,Dividing Cryptocurrency in a Divorce: A Guide for {state},,.com/{state}/property-division/cryptocurrency/,divorce cryptocurrency {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,60
181,Phase 08,Phase 32,Supporting Content,Property Division Supporting Content,Situational Content,Future Inheritances in {state} Divorce Property Division Cases,,.com/{state}/property-division/future-inheritances/,inheritance in divorce {state},,,,,,,,,,,,,,,,,,,,Research,Yes,250
182,Phase 11,Phase 26,Supporting Content,Property Division Supporting Content,Situational Content,Property Division for Long-Term Marriages in {state},,.com/{state}/property-division/long-term-marriages/,long term marriage divorce {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,70
183,Phase 10,Phase 26,Supporting Content,Property Division Supporting Content,Situational Content,Property Division for Stay-at-Home Parents in {state},,.com/{state}/property-division/stay-at-home-parents/,divorce stay at home parent {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,110
184,Phase 08,Phase 35,Supporting Content,Property Division Supporting Content,Legal Description Content,Non-Marital Property in {state},,.com/{state}/property-division/non-marital-property/,non marital property {state},,,,,,,,,,,,,,,,,,,,Research,Yes,300
185,Phase 04,Phase 34,Supporting Content,Property Division Supporting Content,Legal Description Content,Property Division Laws in {state},,.com/{state}/property-division/laws/,property division laws in {state},,,,,,,,,,,,,,,,,,,,Research,Yes,700
186,Phase 06,Phase 34,Supporting Content,Property Division Supporting Content,Legal Description Content,Marital Property in {state},,.com/{state}/property-division/marital-property/,marital property {state},,,,,,,,,,,,,,,,,,,,Research,Yes,400
187,Phase 04,Phase 34,Supporting Content,Property Division Supporting Content,Legal Description Content,Is {state} A Community Property state,,.com/{state}/property-division/community-property-state/,is {state} a community property state,,,,,,,,,,,,,,,,,,,,Research,Yes,"1,600"
188,Phase 09,Phase 34,Supporting Content,Property Division Supporting Content,Legal Description Content,Is {state} an Equitable Distribution or Community Property State,,.com/{state}/property-division/equitable-vs-community/,{state} equitable distribution or community property,,,,,,,,,,,,,,,,,,,,Research,Yes,150
189,Phase 12,Phase 34,Supporting Content,Property Division Supporting Content,Legal Description Content,Investment Valuations for Property Division in {state},,.com/{state}/property-division/investment-valuation/,divorce investment valuation {state},,,,,,,,,,,,,,,,,,,,Purchase,No,40
190,Phase 10,Phase 34,Supporting Content,Property Division Supporting Content,Legal Description Content,Business Valuations during Divorce in {state},,.com/{state}/property-division/business-valuation/,business valuation divorce {state},,,,,,,,,,,,,,,,,,,,Purchase,No,100
191,Phase 08,Phase 35,Supporting Content,Property Division Supporting Content,Legal Description Content,Understanding Separate vs. Marital Property in {state},,.com/{state}/property-division/separate-vs-marital/,separate vs marital property {state},,,,,,,,,,,,,,,,,,,,Research,Yes,250
192,Phase 10,Phase 35,Supporting Content,Property Division Supporting Content,Legal Description Content,Legal Implications of Commingled Assets in {state},,.com/{state}/property-division/commingled-assets/,commingled assets divorce {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,90
193,Phase 11,Phase 35,Supporting Content,Property Division Supporting Content,Legal Description Content,Factors Courts Consider in Property Division in {state},,.com/{state}/property-division/factors-courts-consider/,factors in property division {state} divorce,,,,,,,,,,,,,,,,,,,,Research,Yes,60
194,Phase 11,Phase 35,Supporting Content,Property Division Supporting Content,Legal Description Content,Tax Consequences of Property Division in Divorce in {state},,.com/{state}/property-division/tax-implications/,tax consequences divorce property division {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,70
195,Phase 08,Phase 8,Supporting Content,Guardianship Supporting Content,Procedure Content,Petitioning For Legal Guardianship,,.com/{state}/guardianship/petitioning/,how to petition for guardianship in {state},,,,,,,,,,,,,,,,,,,,Research,Yes,250
196,Phase 06,Phase 8,Supporting Content,Guardianship Supporting Content,Procedure Content,Establishing Guardianship in {state},,.com/{state}/guardianship/establishing/,how to establish guardianship in {state},,,,,,,,,,,,,,,,,,,,Research,Yes,400
197,Phase 09,Phase 16,Supporting Content,Guardianship Supporting Content,Procedure Content,Selecting & Appointing a Guardian in {state},,.com/{state}/guardianship/appointing-guardian/,appointing a legal guardian in {state},,,,,,,,,,,,,,,,,,,,Research,Yes,150
198,Phase 10,Phase 20,Supporting Content,Guardianship Supporting Content,Procedure Content,Modifying Guardianship in {state},,.com/{state}/guardianship/modifying/,modify guardianship {state},,,,,,,,,,,,,,,,,,,,Purchase,No,100
199,Phase 11,Phase 21,Supporting Content,Guardianship Supporting Content,Procedure Content,Reviewing Guardianship in {state},,.com/{state}/guardianship/reviewing/,guardianship review process {state},,,,,,,,,,,,,,,,,,,,Research,Yes,60
200,Phase 09,Phase 20,Supporting Content,Guardianship Supporting Content,Procedure Content,Terminating Guardianship in {state},,.com/{state}/guardianship/terminating/,how to terminate guardianship in {state},,,,,,,,,,,,,,,,,,,,Purchase,No,200
201,Phase 10,Phase 16,Supporting Content,Guardianship Supporting Content,Procedure Content,Contesting a Guardianship Petition in {state},,.com/{state}/guardianship/contesting/,contesting guardianship in {state},,,,,,,,,,,,,,,,,,,,Purchase,No,90
202,Phase 08,Phase 9,Supporting Content,Guardianship Supporting Content,Situational Content,Minor Guardianship in {state},,.com/{state}/guardianship/minor/,minor guardianship {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,300
203,Phase 08,Phase 9,Supporting Content,Guardianship Supporting Content,Situational Content,Adult Guardianship in {state},,.com/{state}/guardianship/adult/,adult guardianship {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,350
204,Phase 04,Phase 13,Supporting Content,Guardianship Supporting Content,Situational Content,Guardian ad Litem in Guardianship Cases in {state},,.com/{state}/guardianship/guardian-ad-litem-guardianship-cases/,guardianship guardian ad litem {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,600
205,Phase 09,Phase 23,Supporting Content,Guardianship Supporting Content,Situational Content,Incapacitated Adult Guardianship in {state},,.com/{state}/guardianship/incapacitated-adult/,guardianship for incapacitated adult {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,150
206,Phase 12,Phase 28,Supporting Content,Guardianship Supporting Content,Situational Content,Guardianship for Non-U.S. Citizen Minors in {state},,.com/{state}/guardianship/non-citizen-minor/,guardianship for undocumented minor {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,40
207,Phase 06,Phase 9,Supporting Content,Guardianship Supporting Content,Situational Content,Emergency & Temporary Guardianship in {state},,.com/{state}/guardianship/emergency-temporary/,emergency guardianship {state},,,,,,,,,,,,,,,,,,,,Purchase,Yes,400
208,Phase 09,Phase 23,Supporting Content,Guardianship Supporting Content,Situational Content,Elder Guardianship in {state},,.com/{state}/guardianship/elder/,elderly guardianship {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,180
209,Phase 08,Phase 24,Supporting Content,Guardianship Supporting Content,Situational Content,Guardianship for Special Needs Individuals in {state},,.com/{state}/guardianship/special-needs/,special needs guardianship {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,250
210,Phase 08,Phase 8,Supporting Content,Guardianship Supporting Content,Legal Description Content,Guardianship Laws in {state},,.com/{state}/guardianship/laws/,what is guardianship in {state},,,,,,,,,,,,,,,,,,,,Research,Yes,300
211,Phase 10,Phase 24,Supporting Content,Guardianship Supporting Content,Legal Description Content,Documentation for Guardianship Proceedings in {state},,.com/{state}/guardianship/documentation-required/,guardianship paperwork {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,120
212,Phase 10,Phase 24,Supporting Content,Guardianship Supporting Content,Legal Description Content,Rights & Responsibilities of a Guardian in {state},,.com/{state}/guardianship/guardian-rights-responsibilities/,guardian responsibilities {state},,,,,,,,,,,,,,,,,,,,Research,Yes,90
213,Phase 11,Phase 24,Supporting Content,Guardianship Supporting Content,Legal Description Content,Rights & Protections for the Ward in {state},,.com/{state}/guardianship/ward-rights-protections/,ward rights under guardianship {state},,,,,,,,,,,,,,,,,,,,Research,Yes,70
214,Phase 06,Phase 29,Supporting Content,Guardianship Supporting Content,Legal Description Content,Powers of Attorney & Advance Directives in {state},,.com/{state}/guardianship/power-of-attorney-directives/,power of attorney vs guardianship {state},,,,,,,,,,,,,,,,,,,,Research,Yes,500
215,Phase 06,Phase 29,Supporting Content,Guardianship Supporting Content,Legal Description Content,Trusts & Conservatorships in {state},,.com/{state}/guardianship/trusts-conservatorships/,conservatorship vs guardianship {state},,,,,,,,,,,,,,,,,,,,Research,Yes,400
216,Phase 08,Phase 31,Supporting Content,Guardianship Supporting Content,Legal Description Content,Differences Between Guardianship and Conservatorship in {state},,.com/{state}/guardianship/guardianship-vs-conservatorship/,difference between guardianship and conservatorship {state},,,,,,,,,,,,,,,,,,,,Research,Yes,350
217,Phase 09,Phase 31,Supporting Content,Guardianship Supporting Content,Legal Description Content,Guardian of the Person vs. Guardian of the Estate in {state},,.com/{state}/guardianship/person-vs-estate/,guardian of person vs estate {state},,,,,,,,,,,,,,,,,,,,Research,Yes,150
218,Phase 09,Phase 4,Supporting Content,Paternity Supporting Content,Procedure Content,Establishing Paternity In {state},,.com/{state}/paternity/establishing/,establishing paternity in {state},,,,,,,,,,,,,,,,,,,,Research,Yes,150
219,Phase 11,Phase 21,Supporting Content,Paternity Supporting Content,Procedure Content,Challenging or Disestablishing Paternity in {state},,.com/{state}/paternity/challenging-disestablishing/,how to disestablish paternity in {state},,,,,,,,,,,,,,,,,,,,Purchase,Yes,70
220,Phase 10,Phase 21,Supporting Content,Paternity Supporting Content,Procedure Content,Voluntary Acknowledgment of Paternity in {state},,.com/{state}/paternity/voluntary-acknowledgement/,voluntary acknowledgment of paternity {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,90
221,Phase 12,Phase 28,Supporting Content,Paternity Supporting Content,Situational Content,Paternity during Surrogacy & Assisted Reproduction in {state},,.com/{state}/paternity/surrogacy-assisted-reproduction/,paternity laws surrogacy {state},,,,,,,,,,,,,,,,,,,,Research,Yes,40
222,Phase 12,Phase 28,Supporting Content,Paternity Supporting Content,Situational Content,Paternity during Same-sex Families in {state},,.com/{state}/paternity/same-sex-families/,paternity rights same sex couples {state},,,,,,,,,,,,,,,,,,,,Research,Yes,30
223,Phase 06,Phase 9,Supporting Content,Paternity Supporting Content,Situational Content,DNA Testing during Paternity Cases in {state},,.com/{state}/paternity/dna-testing-orders/,dna paternity testing {state},,,,,,,,,,,,,,,,,,,,Purchase,Yes,400
224,Phase 12,Phase 27,Supporting Content,Paternity Supporting Content,Situational Content,Posthumous Paternity in {state},,.com/{state}/paternity/posthumous/,posthumous paternity {state},,,,,,,,,,,,,,,,,,,,Research,Yes,10
225,Phase 12,Phase 24,Supporting Content,Paternity Supporting Content,Situational Content,Paternity Cases in {state} with Infidelity,,.com/{state}/paternity/infidelity/,paternity and infidelity {state},,,,,,,,,,,,,,,,,,,,Research,Yes,20
226,Phase 12,Phase 31,Supporting Content,Paternity Supporting Content,Situational Content,Paternity for Military Families in {state},,.com/{state}/paternity/military-families/,military paternity rights {state},,,,,,,,,,,,,,,,,,,,Research,Yes,15
227,Phase 12,Phase 27,Supporting Content,Paternity Supporting Content,Situational Content,Paternity in Cases of Deceased Fathers in {state},,.com/{state}/paternity/deceased-father/,paternity rights deceased father {state},,,,,,,,,,,,,,,,,,,,Research,Yes,20
228,Phase 11,Phase 23,Supporting Content,Paternity Supporting Content,Situational Content,Paternity Fraud Consequences in {state},,.com/{state}/paternity/fraud-consequences/,paternity fraud {state},,,,,,,,,,,,,,,,,,,,Research,Yes,70
229,Phase 04,Phase 6,Supporting Content,Paternity Supporting Content,Legal Description Content,{state} Paternity Laws,,.com/{state}/paternity/laws/,{state} paternity laws,,,,,,,,,,,,,,,,,,,,Research,Yes,900
230,Phase 08,Phase 9,Supporting Content,Paternity Supporting Content,Legal Description Content,Court Order Of Paternity,,.com/{state}/paternity/court-order/,court ordered paternity test {state},,,,,,,,,,,,,,,,,,,,Purchase,No,250
231,Phase 04,Phase 4,Supporting Content,Paternity Supporting Content,Legal Description Content,Fathers Rights in {state},,.com/{state}/paternity/fathers-rights/,fathers rights in {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,"1,100"
232,Phase 06,Phase 4,Supporting Content,Adoption Supporting Content,Procedure Content,Adoption Process in {state},,.com/{state}/adoption/process/,adoption process in {state},,,,,,,,,,,,,,,,,,,,Research,Yes,500
233,Phase 10,Phase 22,Supporting Content,Adoption Supporting Content,Procedure Content,Contesting Adoptions in {state},,.com/{state}/adoption/contesting-process/,how to contest an adoption in {state},,,,,,,,,,,,,,,,,,,,Purchase,No,90
