Map ID,Content Role,Ideal URL Structure,Target Seed Keyword,Ideal Title Tag,Ideal H1 Tag
1,Home Page,/,{brand},{Brand} | {state} Divorce & Family Law Firm,{state} Divorce & Family Law Firm
181,Situational Content,.com/{state}/property-division/future-inheritances/,inheritance in divorce {state},Inheritance & Divorce in {state} | {Brand},Inheritance and Divorce in {state}?
182,Situational Content,.com/{state}/property-division/long-term-marriages/,long term marriage divorce {state},Property Division for Long-Term Marriages in {state} | {Brand},Property Division for Long-Term Marriages
183,Situational Content,.com/{state}/property-division/stay-at-home-parents/,divorce stay at home parent {state},Property Division for Stay-at-Home Parents in {state} | {Brand},Property Division for Stay-at-Home Parents
184,Legal Description Content,.com/{state}/property-division/non-marital-property/,non marital property {state},What is Non-Marital Property in {state}? | {Brand},What Is Non-Marital Property in {state}?
185,Legal Description Content,.com/{state}/property-division/laws/,property division laws in {state},{state} Property Division Laws | {Brand},{state} Property Division Laws
186,Legal Description Content,.com/{state}/property-division/marital-property/,marital property {state},{state} Marital Property Law | {Brand},{state} Marital Property Laws
187,Legal Description Content,.com/{state}/property-division/community-property-state/,is {state} a community property state,Is {state} A Community Property State? | {Brand},Is {state} A Community Property State?
188,Legal Description Content,.com/{state}/property-division/equitable-vs-community/,{state} equitable distribution or community property,Equitable Distribution vs. Community Property in {state} | {Brand},Equitable Distribution vs. Community Property
189,Legal Description Content,.com/{state}/property-division/investment-valuation/,divorce investment valuation {state},Investment Valuations for Property Division in {state} | {Brand},Investment Valuations for Property Division
190,Legal Description Content,.com/{state}/property-division/business-valuation/,business valuation divorce {state},Business Valuations during Divorce in {state} | {Brand},Business Valuations during Divorce
191,Legal Description Content,.com/{state}/property-division/seperate-vs-marital/,separate vs marital property {state},Separate vs. Marital Property in {state} | {Brand},Understanding Separate vs. Marital Property
192,Legal Description Content,.com/{state}/property-division/commingled-assets/,commingled assets divorce {state},Commingled Assets in {state} Divorce | {Brand},Legal Implications of Commingled Assets
193,Legal Description Content,.com/{state}/property-division/factors-courts-consider/,factors in property division {state} divorce,Factors Courts Consider in Property Division in {state} | {Brand},Factors Courts Consider in Property Division
194,Legal Description Content,.com/{state}/property-division/tax-implications/,tax consequences divorce property division {state},Tax Consequences of Property Division in {state} | {Brand},Tax Consequences of Property Division
195,Procedure Content,.com/{state}/guardianship/petitioning/,how to petition for guardianship in {state},Petitioning For Legal Guardianship in {state} | {Brand},Petitioning For Legal Guardianship
196,Procedure Content,.com/{state}/guardianship/establishing/,how to establish guardianship in {state},Establishing Guardianship in {state} | {Brand},How to Establish Guardianship in {state}
197,Procedure Content,.com/{state}/guardianship/appointing-guardian/,appointing a legal guardian in {state},Appointing a Guardian in {state} | {Brand},Selecting & Appointing a Guardian
198,Procedure Content,.com/{state}/guardianship/modifying/,modify guardianship {state},Modifying Guardianship in {state} | {Brand},Modifying Guardianship in {state}
199,Procedure Content,.com/{state}/guardianship/reviewing/,guardianship review process {state},Reviewing Guardianship in {state} | {Brand},Guardianship Review Process in {state}
200,Procedure Content,.com/{state}/guardianship/terminating/,how to terminate guardianship in {state},Terminating Guardianship in {state} | {Brand},How to Terminate Guardianship in {state}
201,Procedure Content,.com/{state}/guardianship/contesting/,contesting guardianship in {state},Contesting a Guardianship Petition in {state} | {Brand},Contesting a Guardianship Petition
202,Situational Content,.com/{state}/guardianship/minor/,minor guardianship {state},Minor Guardianship in {state} | {Brand},Minor Guardianship in {state}
203,Situational Content,.com/{state}/guardianship/adult/,adult guardianship {state},Adult Guardianship in {state} | {Brand},Adult Guardianship in {state}
204,Situational Content,.com/{state}/guardianship/guardian-ad-litem-guardianship-cases/,guardianship guardian ad litem {state},Guardian ad Litem in Guardianship Cases | {Brand},Guardian ad Litem in Guardianship Cases
205,Situational Content,.com/{state}/guardianship/incapacitated-adult/,guardianship for incapacitated adult {state},Incapacitated Adult Guardianship in {state} | {Brand},Incapacitated Adult Guardianship
206,Situational Content,.com/{state}/guardianship/non-citizen-minor/,guardianship for undocumented minor {state},Guardianship for Non-U.S. Citizen Minors in {state} | {Brand},Guardianship for Non-U.S. Citizen Minors
207,Situational Content,.com/{state}/guardianship/emergency-temporary/,emergency guardianship {state},Emergency & Temporary Guardianship in {state} | {Brand},Emergency & Temporary Guardianship
208,Situational Content,.com/{state}/guardianship/elder/,elderly guardianship {state},Elder Guardianship in {state} | {Brand},Elder Guardianship in {state}
209,Situational Content,.com/{state}/guardianship/special-needs/,special needs guardianship {state},Guardianship for Special Needs Individuals in {state} | {Brand},Guardianship for Special Needs Individuals
210,Legal Description Content,.com/{state}/guardianship/laws/,what is guardianship in {state},{state} Guardianship Laws | {Brand},{state} Guardianship Laws
211,Legal Description Content,.com/{state}/guardianship/documentation-required/,guardianship paperwork {state},{state} Guardianship Forms | {Brand},{state} Guardianship Forms
212,Legal Description Content,.com/{state}/guardianship/guardian-rights-responsibilities/,guardian responsibilities {state},Rights & Responsibilities of a Guardian in {state} | {Brand},Rights & Responsibilities of a Guardian
213,Legal Description Content,.com/{state}/guardianship/ward-rights-protections/,ward rights under guardianship {state},Rights & Protections for the Ward in {state} | {Brand},Rights & Protections for the Ward
214,Legal Description Content,.com/{state}/guardianship/power-of-attorney-directives/,power of attorney vs guardianship {state},Powers of Attorney & Advance Directives in {state} | {Brand},Powers of Attorney & Advance Directives
215,Legal Description Content,.com/{state}/guardianship/trusts-conservatorships/,conservatorship vs guardianship {state},Trusts & Conservatorships in {state} | {Brand},Trusts & Conservatorships in {state}
216,Legal Description Content,.com/{state}/guardianship/guardianship-vs-conservatorship/,difference between guardianship and conservatorship {state},Guardianship vs. Conservatorship in {state} | {Brand},Differences Between Guardianship and Conservatorship
217,Legal Description Content,.com/{state}/guardianship/person-vs-estate/,guardian of person vs estate {state},Types of Guardianship in {state} | {Brand},Types of Guardianship in {state}
218,Procedure Content,.com/{state}/paternity/establishing/,establishing paternity in {state},Establishing Paternity in {state} | {Brand},Establishing Paternity in {state}
219,Procedure Content,.com/{state}/paternity/challenging-disestablishing/,how to disestablish paternity in {state},Challenging or Disestablishing Paternity in {state} | {Brand},How to Disestablish Paternity in {state}
220,Procedure Content,.com/{state}/paternity/voluntary-acknowledgement/,voluntary acknowledgment of paternity {state},Voluntary Acknowledgment of Paternity in {state} | {Brand},Voluntary Acknowledgment of Paternity
221,Situational Content,.com/{state}/paternity/surrogacy-assisted-reproduction/,paternity laws surrogacy {state},Paternity in Surrogacy & Assisted Reproduction | {Brand},Paternity in Surrogacy & Assisted Reproduction
222,Situational Content,.com/{state}/paternity/same-sex-families/,paternity rights same sex couples {state},Paternity in Same-sex Families in {state} | {Brand},Paternity in Same-sex Families
223,Situational Content,.com/{state}/paternity/dna-testing-orders/,dna paternity testing {state},DNA Testing during Paternity Cases in {state} | {Brand},DNA Testing during Paternity Cases
224,Situational Content,.com/{state}/paternity/posthumous/,posthumous paternity {state},Posthumous Paternity in {state} | {Brand},Posthumous Paternity in {state}
225,Situational Content,.com/{state}/paternity/infidelity/,paternity and infidelity {state},Paternity Cases with Infidelity in {state} | {Brand},Paternity Cases with Infidelity
226,Situational Content,.com/{state}/paternity/military-families/,military paternity rights {state},Paternity for Military Families in {state} | {Brand},Paternity for Military Families
227,Situational Content,.com/{state}/paternity/deceased-father/,paternity rights deceased father {state},Paternity in Cases of Deceased Fathers in {state} | {Brand},Paternity in Cases of Deceased Fathers
228,Situational Content,.com/{state}/paternity/fraud-consequences/,paternity fraud {state},Paternity Fraud Consequences in {state} | {Brand},Paternity Fraud Consequences
229,Legal Description Content,.com/{state}/paternity/laws/,{state} paternity laws,{state} Paternity Laws | {Brand},{state} Paternity Laws
230,Legal Description Content,.com/{state}/paternity/court-order/,court ordered paternity test {state},Court Order Of Paternity in {state} | {Brand},Court Order Of Paternity
231,Legal Description Content,.com/{state}/paternity/fathers-rights/,fathers rights in {state},Father's Rights in {state} | {Brand},Father's Rights in {state}
232,Procedure Content,.com/{state}/adoption/process/,adoption process in {state},Adoption Process in {state} | {Brand},Adoption Process in {state}
233,Procedure Content,.com/{state}/adoption/contesting-process/,how to contest an adoption in {state},Contesting Adoptions in {state} | {Brand},How to Contest an Adoption in {state}
234,Procedure Content,.com/{state}/adoption/reverse-vacate-orders/,reverse adoption in {state},Reverse or Vacate an Adoption in {state} | {Brand},Reverse or Vacate an Adoption
235,Situational Content,.com/{state}/adoption/domestic/,domestic adoption {state},Domestic Adoption in {state} | {Brand},Domestic Adoption in {state}
236,Situational Content,.com/{state}/adoption/international/,international adoption {state},International Adoption in {state} | {Brand},International Adoption in {state}
237,Situational Content,.com/{state}/adoption/foster-care/,foster care adoption {state},Foster Care Adoption in {state} | {Brand},Foster Care Adoption in {state}
238,Situational Content,.com/{state}/adoption/kinship/,kinship adoption {state},Relative (Kinship) Adoption in {state} | {Brand},Relative (Kinship) Adoption
239,Situational Content,.com/{state}/adoption/stepparent/,stepparent adoption {state},Stepparent Adoption in {state} | {Brand},Stepparent Adoption in {state}
240,Situational Content,.com/{state}/adoption/adult/,adult adoption {state},Adult Adoption in {state} | {Brand},Adult Adoption in {state}
241,Situational Content,.com/{state}/adoption/embryo/,embryo adoption {state},Embryo Adoption in {state} | {Brand},Embryo Adoption in {state}
242,Situational Content,.com/{state}/adoption/lgbt/,LGBT adoption {state},LGBT Adoption in {state} | {Brand},LGBT Adoption in {state}
243,Situational Content,.com/{state}/adoption/single-parent/,single parent adoption {state},Single Parent Adoption in {state} | {Brand},Single Parent Adoption in {state}
244,Situational Content,.com/{state}/adoption/preparing-family/,preparing for adoption,Preparing Your Family for Adoption | {Brand},Preparing Your Family for Adoption
245,Situational Content,.com/{state}/adoption/attachment-and-bonding-strategies/,adoption bonding strategies,Attachment & Bonding Strategies | {Brand},Attachment & Bonding Strategies
246,Situational Content,.com/{state}/adoption/talking-about/,how to talk to your child about adoption,Talking about Adoption | {Brand},Talking about Adoption
247,Situational Content,.com/{state}/adoption/transracial/,transracial adoption pros and cons,Transracial Adoption Considerations | {Brand},Transracial Adoption Considerations
248,Situational Content,.com/{state}/adoption/transcultural/,transcultural adoption,Transcultural Adoption Considerations | {Brand},Transcultural Adoption Considerations
249,Legal Description Content,.com/{state}/adoption/parental-rights-consent/,parental consent for adoption in {state},Parental Rights & Consent in {state} | {Brand},Parental Rights & Consent for Adoption
250,Legal Description Content,.com/{state}/adoption/laws/,{state} adoption laws,{state} Adoption Laws | {Brand},{state} Adoption Laws
251,Legal Description Content,.com/{state}/adoption/interstate-compact/,ICPC adoption {state},Interstate Compact on the Placement of Children | {Brand},Interstate Compact on the Placement of Children (ICPC)
252,Legal Description Content,.com/{state}/adoption/decree-final-orders/,final adoption decree {state},Adoption Decree & Final Orders in {state} | {Brand},Adoption Decree & Final Orders
253,Legal Description Content,.com/{state}/adoption/assistance-agreements/,adoption assistance {state},Adoption Assistance Agreements in {state} | {Brand},Adoption Assistance Agreements
254,Legal Description Content,.com/{state}/adoption/open-vs-closed-requirements/,open vs closed adoption {state},Open vs. Closed Adoptions in {state} | {Brand},Open vs. Closed Adoptions
255,Legal Description Content,.com/{state}/adoption/post-adoption-contact/,post adoption contact agreement {state},Post-Adoption Contact Agreements in {state} | {Brand},Post-Adoption Contact Agreements
256,Procedure Content,.com/{state}/prenup-postnup/enforcing-prenuptial-agreements/,enforce prenuptial agreement {state},Enforcing Prenuptial Agreements in {state} | {Brand},Enforcing Prenuptial Agreements in {state}
257,Procedure Content,.com/{state}/prenup-postnup/challenging-prenuptial-agreement/,contesting prenuptial agreement {state},Challenging a Prenuptial Agreement in {state} | {Brand},Challenging a Prenuptial Agreement
258,Procedure Content,.com/{state}/prenup-postnup/prenuptial-agreement-drafting/,prenuptial agreement lawyer {state},Prenuptial Agreement Drafting in {state} | {Brand},Prenuptial Agreement Drafting
259,Situational Content,.com/{state}/prenup-postnup/talking-about-prenuptial-agreements/,how to talk about prenuptial agreements,How to Start Talking about Prenuptial Agreements | {Brand},How to Start Talking about Prenuptial Agreements
260,Situational Content,.com/{state}/prenup-postnup/prenuptial-negotiation-tips/,prenuptial agreement negotiation {state},Prenuptial Negotiation Tips in {state} | {Brand},Prenuptial Negotiation Tips
261,Situational Content,.com/{state}/prenup-postnup/prenups-high-net-worth/,high net worth prenuptial agreement {state},Prenups for High-Net-Worth Couples in {state} | {Brand},Prenuptial Agreements for High-Net-Worth Couples
262,Situational Content,.com/{state}/prenup-postnup/prenups-entrepreneurs-family-business/,prenuptial agreement business owner {state},Prenups for Entrepreneurs in {state} | {Brand},Prenuptial Agreements for Entrepreneurs & Business Owners
263,Situational Content,.com/{state}/prenup-postnup/prenups-same-sex-couples/,same sex prenuptial agreement {state},Prenups for Same-Sex Couples in {state} | {Brand},Prenuptial Agreements for Same-Sex Couples
264,Situational Content,.com/{state}/prenup-postnup/prenups-young-professionals/,prenuptial agreement young couples {state},Prenups for Young Professionals in {state} | {Brand},Prenuptial Agreements for Young Professionals
265,Situational Content,.com/{state}/prenup-postnup/prenups-military-families/,military prenuptial agreement {state},Prenups for Military Families in {state} | {Brand},Prenuptial Agreements for Military Families
266,Situational Content,.com/{state}/prenup-postnup/prenups-age-gaps/,age gap prenuptial agreement {state},Prenups for Couples with Age Gaps in {state} | {Brand},Prenuptial Agreements for Couples with Significant Age Gaps
267,Situational Content,.com/{state}/prenup-postnup/insuring-prenup-obligations/,prenuptial agreement insurance {state},Insuring Prenup Obligations in {state} | {Brand},Insuring Prenup Obligations
268,Legal Description Content,.com/{state}/prenup-postnup/laws/,what is a prenuptial agreement in {state},Prenuptial Agreements in {state} | {Brand},Prenuptial Agreements in {state}
269,Legal Description Content,.com/{state}/prenup-postnup/history-of-prenups/,history of prenuptial agreements,History of Prenups | {Brand},History of Prenuptial Agreements
270,Legal Description Content,.com/{state}/prenup-postnup/prenup-vs-postnup/,prenup vs postnup {state},Prenup vs Postnups in {state} | {Brand},How Do Postnuptial Agreements Work in {state}?
271,Legal Description Content,.com/{state}/prenup-postnup/uniform-premarital-agreement-act/,uniform premarital agreement act,Uniform Premarital Agreement Act (UPAA) | {Brand},Uniform Premarital Agreement Act (UPAA)
272,Legal Description Content,.com/{state}/prenup-postnup/prenuptial-laws/,{state} prenuptial agreement laws,{state} Prenuptial Agreement Laws | {Brand},{state} Prenuptial Agreement Laws
273,Legal Description Content,.com/{state}/prenup-postnup/key-provisions-prenups/,prenuptial agreement clauses {state},Key Provisions of Prenups in {state} | {Brand},Key Provisions of Prenuptial Agreements
274,Review Hub Page,.com/{state}/reviews/,{brand} reviews,Reviews | {state} | {Brand},{Brand} Reviews
275,Blog Hub Page,.com/{state}/blog/,{brand} family law blog,{state} Family Law Blog | {Brand},{state} Family Law Blog
276,About / Firm Story,.com/our-story/,{brand} story,About Us | {Brand},About Us
277,Privacy Policy,.com/privacy-policy/,{brand} privacy policy,Privacy Policy | {state} | {Brand},Privacy Policy & Terms and Conditions
278,Terms of Service,.com/terms-of-service/,{brand} terms of service,Terms of Service | {Brand},Terms of Service
279,Awards,.com/awards/,{brand} awards,Awards | {Brand},Awards & Recognition
280,In the News,.com/news/,{brand} news,In the News | {Brand},{Brand} In the News
281,Careers,.com/careers/,{brand} careers,Careers | {Brand},Career Opportunities
282,Child Support Calculator,.com/{state}/child-support/calculator/,{state} child support calculator,{state} Child Support Calculators & Worksheets {year} | {Brand},Calculate {state} Child Support Payments
283,Alimony Calculator,.com/{state}/alimony/calculator/,{state} alimony calculator,{state} Alimony Calculator ({year}) | {Brand},{state} Alimony Calculator
284,Property Division Worksheet,.com/{state}/property-division/worksheet/,{state} divorce property division worksheet,Splitting Assets Worksheet for Divorce in {state} | {Brand},{state} Property Division Worksheet
285,Parenting Plan Template,.com/{state}/child-custody/parenting-plans/template,{state} parenting plan template,{state} Parenting Plan Template | {Brand},{state} Parenting Plan Template
286,DIY Divorce Forms,.com/{state}/divorce/forms-diy/,{state} diy divorce forms,(Free) {state} Divorce Forms | {Brand},{state} Divorce Forms
287,Hub Page,.com/{state}/events/,{state} family law education events,Divorce Webinars & Educational Events in {state} | {Brand},Divorce Webinars & Educational Events in {state}
288,Recorded Webinars,.com/{state}/events/{webinar1},{state} divorce webinar,{year} {state} Divorce Webinar | {Brand},{year} {state} Divorce Webinar
289,Recorded Webinars,.com/{state}/events/{webinar2},{state} co-parenting webinar,{year} {state} Co-Parenting Webinar | {Brand},{year} {state} Co-Parenting Webinar
290,Live Workshops (Seminars),.com/{state}/events/{workshop1},{state} divorce seminar,Divorce Workshops in {state} | {Brand},Attend a {state} Divorce Workshop
291,Live Workshops (Seminars),.com/{state}/events/{workshop2},{state} co-parenting seminar,Co-Parenting Workshops in {state} | {Brand},Attend a {state} Co-Parenting Workshop
