Content Category,Content Type,Content Role,Ideal Keyword Structure,Build Status,IdealURL,Target Seed Keyword
Supporting Content,Property Division Supporting Content,Legal Description Content,Legal Implications of Commingled Assets in {state},,.com/{state}/property-division/commingled-assets/,commingled assets divorce {state}
Supporting Content,Property Division Supporting Content,Legal Description Content,Factors Courts Consider in Property Division in {state},,.com/{state}/property-division/factors-courts-consider/,factors in property division {state} divorce
Supporting Content,Property Division Supporting Content,Legal Description Content,Tax Consequences of Property Division in Divorce in {state},,.com/{state}/property-division/tax-implications/,tax consequences divorce property division {state}
Supporting Content,Guardianship Supporting Content,Procedure Content,Petitioning For Legal Guardianship,,.com/{state}/guardianship/petitioning/,how to petition for guardianship in {state}
Supporting Content,Guardianship Supporting Content,Procedure Content,Establishing Guardianship in {state},,.com/{state}/guardianship/establishing/,how to establish guardianship in {state}
Supporting Content,Guardianship Supporting Content,Procedure Content,Selecting & Appointing a Guardian in {state},,.com/{state}/guardianship/appointing-guardian/,appointing a legal guardian in {state}
Supporting Content,Guardianship Supporting Content,Procedure Content,Modifying Guardianship in {state},,.com/{state}/guardianship/modifying/,modify guardianship {state}
Supporting Content,Guardianship Supporting Content,Procedure Content,Reviewing Guardianship in {state},,.com/{state}/guardianship/reviewing/,guardianship review process {state}
Supporting Content,Guardianship Supporting Content,Procedure Content,Terminating Guardianship in {state},,.com/{state}/guardianship/terminating/,how to terminate guardianship in {state}
Supporting Content,Guardianship Supporting Content,Procedure Content,Contesting a Guardianship Petition in {state},,.com/{state}/guardianship/contesting/,contesting guardianship in {state}
Supporting Content,Guardianship Supporting Content,Situational Content,Minor Guardianship in {state},,.com/{state}/guardianship/minor/,minor guardianship {state}
Supporting Content,Guardianship Supporting Content,Situational Content,Adult Guardianship in {state},,.com/{state}/guardianship/adult/,adult guardianship {state}
Supporting Content,Guardianship Supporting Content,Situational Content,Guardian ad Litem in Guardianship Cases in {state},,.com/{state}/guardianship/guardian-ad-litem-guardianship-cases/,guardianship guardian ad litem {state}
Supporting Content,Guardianship Supporting Content,Situational Content,Incapacitated Adult Guardianship in {state},,.com/{state}/guardianship/incapacitated-adult/,guardianship for incapacitated adult {state}
Supporting Content,Guardianship Supporting Content,Situational Content,Guardianship for Non-U.S. Citizen Minors in {state},,.com/{state}/guardianship/non-citizen-minor/,guardianship for undocumented minor {state}
Supporting Content,Guardianship Supporting Content,Situational Content,Emergency & Temporary Guardianship in {state},,.com/{state}/guardianship/emergency-temporary/,emergency guardianship {state}
Supporting Content,Guardianship Supporting Content,Situational Content,Elder Guardianship in {state},,.com/{state}/guardianship/elder/,elderly guardianship {state}
Supporting Content,Guardianship Supporting Content,Situational Content,Guardianship for Special Needs Individuals in {state},,.com/{state}/guardianship/special-needs/,special needs guardianship {state}
Supporting Content,Guardianship Supporting Content,Legal Description Content,Guardianship Laws in {state},,.com/{state}/guardianship/laws/,what is guardianship in {state}
Supporting Content,Guardianship Supporting Content,Legal Description Content,Documentation for Guardianship Proceedings in {state},,.com/{state}/guardianship/documentation-required/,guardianship paperwork {state}
Supporting Content,Guardianship Supporting Content,Legal Description Content,Rights & Responsibilities of a Guardian in {state},,.com/{state}/guardianship/guardian-rights-responsibilities/,guardian responsibilities {state}
Supporting Content,Guardianship Supporting Content,Legal Description Content,Rights & Protections for the Ward in {state},,.com/{state}/guardianship/ward-rights-protections/,ward rights under guardianship {state}
Supporting Content,Guardianship Supporting Content,Legal Description Content,Powers of Attorney & Advance Directives in {state},,.com/{state}/guardianship/power-of-attorney-directives/,power of attorney vs guardianship {state}
Supporting Content,Guardianship Supporting Content,Legal Description Content,Trusts & Conservatorships in {state},,.com/{state}/guardianship/trusts-conservatorships/,conservatorship vs guardianship {state}
Supporting Content,Guardianship Supporting Content,Legal Description Content,Differences Between Guardianship and Conservatorship in {state},,.com/{state}/guardianship/guardianship-vs-conservatorship/,difference between guardianship and conservatorship {state}
Supporting Content,Guardianship Supporting Content,Legal Description Content,Guardian of the Person vs. Guardian of the Estate in {state},,.com/{state}/guardianship/person-vs-estate/,guardian of person vs estate {state}
Supporting Content,Paternity Supporting Content,Procedure Content,Establishing Paternity In {state},,.com/{state}/paternity/establishing/,establishing paternity in {state}
Supporting Content,Paternity Supporting Content,Procedure Content,Challenging or Disestablishing Paternity in {state},,.com/{state}/paternity/challenging-disestablishing/,how to disestablish paternity in {state}
Supporting Content,Paternity Supporting Content,Procedure Content,Voluntary Acknowledgment of Paternity in {state},,.com/{state}/paternity/voluntary-acknowledgement/,voluntary acknowledgment of paternity {state}
Supporting Content,Paternity Supporting Content,Situational Content,Paternity during Surrogacy & Assisted Reproduction in {state},,.com/{state}/paternity/surrogacy-assisted-reproduction/,paternity laws surrogacy {state}
Supporting Content,Paternity Supporting Content,Situational Content,Paternity during Same-sex Families in {state},,.com/{state}/paternity/same-sex-families/,paternity rights same sex couples {state}
Supporting Content,Paternity Supporting Content,Situational Content,DNA Testing during Paternity Cases in {state},,.com/{state}/paternity/dna-testing-orders/,dna paternity testing {state}
Supporting Content,Paternity Supporting Content,Situational Content,Posthumous Paternity in {state},,.com/{state}/paternity/posthumous/,posthumous paternity {state}
Supporting Content,Paternity Supporting Content,Situational Content,Paternity Cases in {state} with Infidelity,,.com/{state}/paternity/infidelity/,paternity and infidelity {state}
Supporting Content,Paternity Supporting Content,Situational Content,Paternity for Military Families in {state},,.com/{state}/paternity/military-families/,military paternity rights {state}
Supporting Content,Paternity Supporting Content,Situational Content,Paternity in Cases of Deceased Fathers in {state},,.com/{state}/paternity/deceased-father/,paternity rights deceased father {state}
Supporting Content,Paternity Supporting Content,Situational Content,Paternity Fraud Consequences in {state},,.com/{state}/paternity/fraud-consequences/,paternity fraud {state}
Supporting Content,Paternity Supporting Content,Legal Description Content,{state} Paternity Laws,,.com/{state}/paternity/laws/,{state} paternity laws
Supporting Content,Paternity Supporting Content,Legal Description Content,Court Order Of Paternity,,.com/{state}/paternity/court-order/,court ordered paternity test {state}
Supporting Content,Paternity Supporting Content,Legal Description Content,Fathers Rights in {state},,.com/{state}/paternity/fathers-rights/,fathers rights in {state}
Supporting Content,Adoption Supporting Content,Procedure Content,Adoption Process in {state},,.com/{state}/adoption/process/,adoption process in {state}
Supporting Content,Adoption Supporting Content,Procedure Content,Contesting Adoptions in {state},,.com/{state}/adoption/contesting-process/,how to contest an adoption in {state}
Supporting Content,Adoption Supporting Content,Procedure Content,Reverse or Vacate an Adoption in {state},,.com/{state}/adoption/reverse-vacate-orders/,reverse adoption in {state}
Supporting Content,Adoption Supporting Content,Situational Content,Domestic Adoption in {state},,.com/{state}/adoption/domestic/,domestic adoption {state}
Supporting Content,Adoption Supporting Content,Situational Content,International Adoption in {state},,.com/{state}/adoption/international/,international adoption {state}
Supporting Content,Adoption Supporting Content,Situational Content,Foster Care Adoption in {state},,.com/{state}/adoption/foster-care/,foster care adoption {state}
Supporting Content,Adoption Supporting Content,Situational Content,Relative (Kinship) Adoption in {state},,.com/{state}/adoption/kinship/,kinship adoption {state}
Supporting Content,Adoption Supporting Content,Situational Content,Stepparent Adoption in {state},,.com/{state}/adoption/stepparent/,stepparent adoption {state}
Supporting Content,Adoption Supporting Content,Situational Content,Adult Adoption in {state},,.com/{state}/adoption/adult/,adult adoption {state}
Supporting Content,Adoption Supporting Content,Situational Content,Embryo Adoption in {state},,.com/{state}/adoption/embryo/,embryo adoption {state}
Supporting Content,Adoption Supporting Content,Situational Content,LGBT Adoption in {state},,.com/{state}/adoption/lgbt/,LGBT adoption {state}
Supporting Content,Adoption Supporting Content,Situational Content,Single Parent Adoption in {state},,.com/{state}/adoption/single-parent/,single parent adoption {state}
Supporting Content,Adoption Supporting Content,Situational Content,Preparing Your Family for Adoption,,.com/{state}/adoption/preparing-family/,preparing for adoption
Supporting Content,Adoption Supporting Content,Situational Content,Attachment & Bonding Strategies,,.com/{state}/adoption/attachment-and-bonding-strategies/,adoption bonding strategies
Supporting Content,Adoption Supporting Content,Situational Content,Talking about Adoption,,.com/{state}/adoption/talking-about/,how to talk to your child about adoption
Supporting Content,Adoption Supporting Content,Situational Content,Transracial Adoption Considerations,,.com/{state}/adoption/transracial/,transracial adoption pros and cons
Supporting Content,Adoption Supporting Content,Situational Content,Transcultural Adoption Considerations,,.com/{state}/adoption/transcultural/,transcultural adoption
Supporting Content,Adoption Supporting Content,Legal Description Content,Parental Rights & Consent in {state},,.com/{state}/adoption/parental-rights-consent/,parental consent for adoption in {state}
Supporting Content,Adoption Supporting Content,Legal Description Content,Adoption Laws in {state},,.com/{state}/adoption/laws/,{state} adoption laws
Supporting Content,Adoption Supporting Content,Legal Description Content,Interstate Compact on the Placement of Children (ICPC),,.com/{state}/adoption/interstate-compact/,ICPC adoption {state}
Supporting Content,Adoption Supporting Content,Legal Description Content,Adoption Decree & Final Orders in {state},,.com/{state}/adoption/decree-final-orders/,final adoption decree {state}
Supporting Content,Adoption Supporting Content,Legal Description Content,Adoption Assistance Agreements in {state},,.com/{state}/adoption/assistance-agreements/,adoption assistance {state}
Supporting Content,Adoption Supporting Content,Legal Description Content,Legal Requirements for Open vs. Closed Adoptions in {state},,.com/{state}/adoption/open-vs-closed-requirements/,open vs closed adoption {state}
Supporting Content,Adoption Supporting Content,Legal Description Content,Post-Adoption Contact Agreements in {state},,.com/{state}/adoption/post-adoption-contact/,post adoption contact agreement {state}
Supporting Content,Prenup Supporting Content,Procedure Content,Enforcing Prenuptial Agreements in {state},,.com/{state}/prenup-postnup/enforcing-prenuptial-agreements/,enforce prenuptial agreement {state}
Supporting Content,Prenup Supporting Content,Procedure Content,Challenging a Prenuptial Agreement in {state},,.com/{state}/prenup-postnup/challenging-prenuptial-agreement/,contesting prenuptial agreement {state}
Supporting Content,Prenup Supporting Content,Procedure Content,Prenuptial Agreement Drafting in {state},,.com/{state}/prenup-postnup/prenuptial-agreement-drafting/,prenuptial agreement lawyer {state}
Supporting Content,Prenup Supporting Content,Situational Content,How to Start Talking about Prenuptial Agreements,,.com/{state}/prenup-postnup/talking-about-prenuptial-agreements/,how to talk about prenuptial agreements
Supporting Content,Prenup Supporting Content,Situational Content,Prenuptial Negotiation Tips in {state},,.com/{state}/prenup-postnup/prenuptial-negotiation-tips/,prenuptial agreement negotiation {state}
Supporting Content,Prenup Supporting Content,Situational Content,Prenuptial Agreements for High-Net-Worth Couples in {state},,.com/{state}/prenup-postnup/prenups-high-net-worth/,high net worth prenuptial agreement {state}
Supporting Content,Prenup Supporting Content,Situational Content,Prenuptial Agreements for Entrepreneurs & Business Owners in {state},,.com/{state}/prenup-postnup/prenups-entrepreneurs-family-business/,prenuptial agreement business owner {state}
Supporting Content,Prenup Supporting Content,Situational Content,Prenuptial Agreements for Same-Sex Couples in {state},,.com/{state}/prenup-postnup/prenups-same-sex-couples/,same sex prenuptial agreement {state}
Supporting Content,Prenup Supporting Content,Situational Content,Prenups for Young Professionals in {state},,.com/{state}/prenup-postnup/prenups-young-professionals/,prenuptial agreement young couples {state}
Supporting Content,Prenup Supporting Content,Situational Content,Prenups for Military Families in {state},,.com/{state}/prenup-postnup/prenups-military-families/,military prenuptial agreement {state}
Supporting Content,Prenup Supporting Content,Situational Content,Prenups for Couples with Significant Age Gaps in {state},,.com/{state}/prenup-postnup/prenups-age-gaps/,age gap prenuptial agreement {state}
Supporting Content,Prenup Supporting Content,Situational Content,Insuring Prenup Obligations in {state},,.com/{state}/prenup-postnup/insuring-prenup-obligations/,prenuptial agreement insurance {state}
Supporting Content,Prenup Supporting Content,Legal Description Content,Prenuptial Agreement Laws in {state},,.com/{state}/prenup-postnup/laws/,what is a prenuptial agreement in {state}
Supporting Content,Prenup Supporting Content,Legal Description Content,History of Prenups,,.com/{state}/prenup-postnup/history-of-prenups/,history of prenuptial agreements
Supporting Content,Prenup Supporting Content,Legal Description Content,Prenup vs Postnups in {state},,.com/{state}/prenup-postnup/prenup-vs-postnup/,prenup vs postnup {state}
Supporting Content,Prenup Supporting Content,Legal Description Content,Uniform Premarital Agreement Act (UPAA),,.com/{state}/prenup-postnup/uniform-premarital-agreement-act/,uniform premarital agreement act
Supporting Content,Prenup Supporting Content,Legal Description Content,Prenuptial Laws in {state},,.com/{state}/prenup-postnup/prenuptial-laws/,{state} prenuptial agreement laws
Supporting Content,Prenup Supporting Content,Legal Description Content,Key Provisions of Prenuptial Agreements in {state},,.com/{state}/prenup-postnup/key-provisions-prenups/,prenuptial agreement clauses {state}
Brand Content,Brand Supporting Content,Review Hub Page,Reviews | {brand},,.com/{state}/reviews/,{brand} reviews
Brand Content,Brand Supporting Content,Blog Hub Page,Family Law Blog | {brand},,.com/{state}/blog/,{brand} family law blog
Brand Content,Brand Supporting Content,About / Firm Story,Our Story | {brand},,.com/our-story/,{brand} story
Brand Content,Brand Supporting Content,Privacy Policy,Privacy Policy,,.com/privacy-policy/,{brand} privacy policy
Brand Content,Brand Supporting Content,Terms of Service,Terms of Service,,.com/terms-of-service/,{brand} terms of service
Brand Content,Brand Supporting Content,Awards,Awards | {brand},,.com/awards/,{brand} awards
Brand Content,Brand Supporting Content,In the News,In the News | {brand},,.com/news/,{brand} news
Brand Content,Brand Supporting Content,Careers,Careers | {brand},,.com/careers/,{brand} careers
Tools / Resources Pages,Child Support Supporting Content,Child Support Calculator,{year} {state} Child Support Calculator,,.com/{state}/child-support/calculator/,{state} child support calculator
Tools / Resources Pages,Alimony Supporting Content,Alimony Calculator,{year} {state} Alimony Calculator,,.com/{state}/alimony/calculator/,{state} alimony calculator
Tools / Resources Pages,Property Division Supporting Content,Property Division Worksheet,{state} Property Division Worksheet,,.com/{state}/property-division/worksheet/,{state} divorce property division worksheet
Tools / Resources Pages,Child Custody Supporting Content,Parenting Plan Template,{state} Parenting Plan Template,,.com/{state}/child-custody/parenting-plans/template,{state} parenting plan template
Tools / Resources Pages,Divorce Supporting Content,DIY Divorce Forms,{state} DIY Divorce Forms,,.com/{state}/divorce/forms-diy/,{state} diy divorce forms
Event Pages,Events,Hub Page,{year} {state} Family Law Education Events,,.com/{state}/events/,{state} family law education events
Event Pages,Events,Recorded Webinars,{year} {state} Divorce Webinar,,.com/{state}/events/{webinar1},{state} divorce webinar
Event Pages,Events,Recorded Webinars,{year} {state} Co-Parenting Webinar,,.com/{state}/events/{webinar2},{state} co-parenting webinar
Event Pages,Events,Live Workshops (Seminars),{year} {state} Divorce Seminar (Workshop),,.com/{state}/events/{workshop1},{state} divorce seminar
Event Pages,Events,Live Workshops (Seminars),{year} {state} Co-Parenting Seminar (Workshop),,.com/{state}/events/{workshop2},{state} co-parenting seminar
